"","czone","IND","variable","HH","forecast","czonename"
"39","38200","23","2014",20811,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"40","38300","23","2014",551411,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"41","36600","33","2014",3477,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"42","36700","33","2014",4094,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"43","37000","33","2014",43676,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"44","37100","33","2014",21228,"Ind Industry Forecast","Bakersfield, CA Metro "
"45","37200","33","2014",22950,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"46","37300","33","2014",6242,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"47","37400","33","2014",98121,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"48","37500","33","2014",195294,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"49","37700","33","2014",27014,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"50","37800","33","2014",226743,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"51","38000","33","2014",138606,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"52","38100","33","2014",4051,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"53","38200","33","2014",24139,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"54","38300","33","2014",955199,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"55","36600","42","2014",1187,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"56","36700","42","2014",1085,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"57","37000","42","2014",14563,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"58","37100","42","2014",10321,"Ind Industry Forecast","Bakersfield, CA Metro "
"59","37200","42","2014",8990,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"60","37300","42","2014",1859,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"61","37400","42","2014",36658,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"62","37500","42","2014",25390,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"63","37700","42","2014",7733,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"64","37800","42","2014",68211,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"65","38000","42","2014",36608,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"66","38100","42","2014",3093,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"67","38200","42","2014",7498,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"68","38300","42","2014",315503,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"69","36600","44","2014",9180,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"70","36700","44","2014",9359,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"71","37000","44","2014",46890,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"72","37100","44","2014",41002,"Ind Industry Forecast","Bakersfield, CA Metro "
"73","37200","44","2014",31651,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"74","37300","44","2014",14361,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"75","37400","44","2014",165875,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"76","37500","44","2014",111500,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"77","37700","44","2014",32857,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"78","37800","44","2014",289271,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"79","38000","44","2014",183188,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"80","38100","44","2014",9407,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"81","38200","44","2014",41527,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"82","38300","44","2014",1037683,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"83","36600","48","2014",2128,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"84","36700","48","2014",1302,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"85","37000","48","2014",17804,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"86","37100","48","2014",15595,"Ind Industry Forecast","Bakersfield, CA Metro "
"87","37200","48","2014",10166,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"88","37300","48","2014",2191,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"89","37400","48","2014",51039,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"90","37500","48","2014",23732,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"91","37700","48","2014",5364,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"92","37800","48","2014",103300,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"93","38000","48","2014",39754,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"94","38100","48","2014",2436,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"95","38200","48","2014",10939,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"96","38300","48","2014",377722,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"97","36600","51","2014",1246,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"98","36700","51","2014",593,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"99","37000","51","2014",4070,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"100","37100","51","2014",3772,"Ind Industry Forecast","Bakersfield, CA Metro "
"101","37200","51","2014",3330,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"102","37300","51","2014",1506,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"103","37400","51","2014",34397,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"104","37500","51","2014",45548,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"105","37700","51","2014",4254,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"106","37800","51","2014",92379,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"107","38000","51","2014",36401,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"108","38100","51","2014",1380,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"109","38200","51","2014",5567,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"110","38300","51","2014",310831,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"111","36600","52","2014",2699,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"112","36700","52","2014",1810,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"113","37000","52","2014",9096,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"114","37100","52","2014",7397,"Ind Industry Forecast","Bakersfield, CA Metro "
"115","37200","52","2014",7295,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"116","37300","52","2014",3669,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"117","37400","52","2014",64849,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"118","37500","52","2014",31661,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"119","37700","52","2014",11647,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"120","37800","52","2014",146916,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"121","38000","52","2014",58288,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"122","38100","52","2014",1483,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"123","38200","52","2014",10473,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"124","38300","52","2014",367579,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"125","36600","53","2014",1298,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"126","36700","53","2014",1028,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"127","37000","53","2014",4369,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"128","37100","53","2014",5180,"Ind Industry Forecast","Bakersfield, CA Metro "
"129","37200","53","2014",3650,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"130","37300","53","2014",2165,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"131","37400","53","2014",33807,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"132","37500","53","2014",25360,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"133","37700","53","2014",5318,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"134","37800","53","2014",64531,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"135","38000","53","2014",40319,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"136","38100","53","2014",314,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"137","38200","53","2014",7540,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"138","38300","53","2014",209325,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"139","36600","54","2014",7289,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"140","36700","54","2014",5788,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"141","37000","54","2014",31092,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"142","37100","54","2014",25515,"Ind Industry Forecast","Bakersfield, CA Metro "
"143","37200","54","2014",21276,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"144","37300","54","2014",10284,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"145","37400","54","2014",150935,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"146","37500","54","2014",206889,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"147","37700","54","2014",30308,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"148","37800","54","2014",470249,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"149","38000","54","2014",224207,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"150","38100","54","2014",2468,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"151","38200","54","2014",37602,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"152","38300","54","2014",1105871,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"153","37000","55","2014",223,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"154","37200","55","2014",57,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"155","37300","55","2014",80,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"156","37400","55","2014",439,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"157","37500","55","2014",815,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"158","37700","55","2014",62,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"159","37800","55","2014",2082,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"160","38000","55","2014",955,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"161","38200","55","2014",90,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"162","38300","55","2014",5807,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"163","36600","61","2014",5969,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"164","36700","61","2014",7026,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"165","37000","61","2014",30803,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"166","37100","61","2014",26768,"Ind Industry Forecast","Bakersfield, CA Metro "
"167","37200","61","2014",25902,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"168","37300","61","2014",8944,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"169","37400","61","2014",120466,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"170","37500","61","2014",95146,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"171","37700","61","2014",17144,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"172","37800","61","2014",228702,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"173","38000","61","2014",139157,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"174","38100","61","2014",7712,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"175","38200","61","2014",39088,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"176","38300","61","2014",744543,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"177","36600","62","2014",12517,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"178","36700","62","2014",8732,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"179","37000","62","2014",40249,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"180","37100","62","2014",41093,"Ind Industry Forecast","Bakersfield, CA Metro "
"181","37200","62","2014",35029,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"182","37300","62","2014",17974,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"183","37400","62","2014",181770,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"184","37500","62","2014",123216,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"185","37700","62","2014",36521,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"186","37800","62","2014",356963,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"187","38000","62","2014",187334,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"188","38100","62","2014",8282,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"189","38200","62","2014",45439,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"190","38300","62","2014",1086764,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"191","36600","71","2014",3654,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"192","36700","71","2014",2375,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"193","37000","71","2014",4837,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"194","37100","71","2014",5011,"Ind Industry Forecast","Bakersfield, CA Metro "
"195","37200","71","2014",5748,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"196","37300","71","2014",2860,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"197","37400","71","2014",35233,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"198","37500","71","2014",22461,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"199","37700","71","2014",6499,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"200","37800","71","2014",63373,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"201","38000","71","2014",49515,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"202","38100","71","2014",540,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"203","38200","71","2014",8988,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"204","38300","71","2014",276726,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"205","36600","72","2014",5519,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"206","36700","72","2014",6368,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"207","37000","72","2014",27627,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"208","37100","72","2014",28020,"Ind Industry Forecast","Bakersfield, CA Metro "
"209","37200","72","2014",17860,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"210","37300","72","2014",7043,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"211","37400","72","2014",104438,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"212","37500","72","2014",75592,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"213","37700","72","2014",24191,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"214","37800","72","2014",209493,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"215","38000","72","2014",129623,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"216","38100","72","2014",4816,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"217","38200","72","2014",35116,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"218","38300","72","2014",683397,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"219","36600","81","2014",4838,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"220","36700","81","2014",3522,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"221","37000","81","2014",16380,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"222","37100","81","2014",15392,"Ind Industry Forecast","Bakersfield, CA Metro "
"223","37200","81","2014",10771,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"224","37300","81","2014",4984,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"225","37400","81","2014",69128,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"226","37500","81","2014",53730,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"227","37700","81","2014",15906,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"228","37800","81","2014",145538,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"229","38000","81","2014",77291,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"230","38100","81","2014",4592,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"231","38200","81","2014",20349,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"232","38300","81","2014",526355,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"233","36600","92","2014",4705,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"234","36700","92","2014",4138,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"235","37000","92","2014",11889,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"236","37100","92","2014",25585,"Ind Industry Forecast","Bakersfield, CA Metro "
"237","37200","92","2014",20320,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"238","37300","92","2014",4928,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"239","37400","92","2014",109248,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"240","37500","92","2014",27798,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"241","37700","92","2014",11732,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"242","37800","92","2014",108159,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"243","38000","92","2014",85791,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"244","38100","92","2014",7006,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"245","38200","92","2014",15750,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"246","38300","92","2014",303413,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"247","36600","99","2014",1525,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"248","36700","99","2014",413,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"249","37000","99","2014",11991,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"250","37100","99","2014",7713,"Ind Industry Forecast","Bakersfield, CA Metro "
"251","37200","99","2014",6774,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"252","37300","99","2014",1314,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"253","37400","99","2014",29822,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"254","37500","99","2014",18852,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"255","37700","99","2014",2461,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"256","37800","99","2014",38253,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"257","38000","99","2014",29684,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"258","38100","99","2014",731,"Ind Industry Forecast","Yuma, AZ Metro El Centro Metro"
"259","38200","99","2014",3815,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"260","38300","99","2014",197809,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"261","36600","21","2024",407,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"262","37000","21","2024",482,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"263","37100","21","2024",16044,"Ind Industry Forecast","Bakersfield, CA Metro "
"264","37200","21","2024",317,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"265","37300","21","2024",717,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"266","37400","21","2024",1192,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"267","37500","21","2024",412,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"268","37700","21","2024",197,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"269","37800","21","2024",3134,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"270","38000","21","2024",650,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
"271","38200","21","2024",2326,"Ind Industry Forecast","Santa Barbara, San Luis Obispo-Paso Robles, CA Metro "
"272","38300","21","2024",9690,"Ind Industry Forecast","Los Angeles-Long Beach-Glendale, CA Metro Division"
"273","36600","22","2024",661,"Ind Industry Forecast","Redding, CA Metro Eureka-Arcata-Fortuna, CA Micro "
"274","36700","22","2024",570,"Ind Industry Forecast","Eureka-Arcata-Fortuna, CA Micro "
"275","37000","22","2024",3294,"Ind Industry Forecast","Merced, Modesto Metro PLUS"
"276","37100","22","2024",3609,"Ind Industry Forecast","Bakersfield, CA Metro "
"277","37200","22","2024",2019,"Ind Industry Forecast","Fresno, CA Metro PLUS"
"278","37300","22","2024",1353,"Ind Industry Forecast","Yuba City-Marysville, CA PLUS "
"279","37400","22","2024",13563,"Ind Industry Forecast","Sacramento--Arden-Arcade--Roseville, CA Metro "
"280","37500","22","2024",6150,"Ind Industry Forecast","San Jose-Sunnyvale-Santa Clara, CA Metro "
"281","37700","22","2024",2020,"Ind Industry Forecast","Santa Rosa-Petaluma, CA Metro "
"282","37800","22","2024",21725,"Ind Industry Forecast","San Francisco-San Mateo-Redwood City, CA Metro Division"
"283","38000","22","2024",10997,"Ind Industry Forecast","San Diego-Carlsbad-San Marcos, CA Metro "
